tank,block,trt,treatment,pred,lethality,cons,cons2,Date,Stocked,larval_period_days,total_days,Days,Photo,TailPhoto...15,mass_g,hl,svl,tl,hw,gr,phenotype,Pheno_terr,Pheno_mat,Sex,tail_length_mm,TailPhoto...27,tail_depth_mm,tail_muscle_mm,tail_area,r,g,b,rgb,rgbform,hue,saturation,brightness,Note,survivors,survival,deaths
6,Block 1,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7536,DSC_7537,1.288,9.753,31.429,64.064,7.812,0.097909657,Larva,Aquatic,Immature,NA,32.635,DSC_7537,8.375,4.837,211.262,35.777,22.324,1.763,19.952,23.982,14.346,196.155,35.777,NA,5,0.416666667,7
6,Block 1,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7538,DSC_7539,1.415,10.005,33.578,65.562,8.706,0.104604361,Larva,Aquatic,Immature,NA,31.984,DSC_7539,7.621,4.555,212.962,43.067,34.602,8.36,28.684,34.112,27.197,226.765,43.125,NA,5,0.416666667,7
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7571,DSC_7573,4.733,12.837,48.053,95.944,11.896,0.152549206,Paedomorph,Aquatic,Mature,Male,47.891,DSC_7573,10.637,7.219,362.094,72.219,59.381,10.913,47.507,57.665,30.506,230.331,72.22,NA,10,0.833333333,2
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7574,DSC_7575,3.79,13.429,44,89.641,10.801,0.13968254,Paedomorph,Aquatic,Mature,Female,45.641,DSC_7575,10.664,6.702,319.23,87.586,65.647,12.682,55.306,66.182,28.724,226.249,87.586,NA,10,0.833333333,2
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7576,DSC_7578,3.858,12.847,43.865,89.147,10.955,0.139253968,Paedomorph,Aquatic,Mature,Female,45.282,DSC_7578,10.445,6.467,318.921,91.18,75.81,19.202,62.063,73.948,32.364,213.523,91.183,NA,10,0.833333333,2
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7579,DSC_7580,4.088,12.334,45.763,85.042,10.248,0.145279365,Paedomorph,Aquatic,Mature,Female,39.279,DSC_7580,9.52,6.557,314.917,112.172,88.718,17.912,72.934,87.64,30.879,224.283,112.172,NA,10,0.833333333,2
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7581,DSC_7582,3.685,13.771,45.612,91.261,10.85,0.1448,Larva,Aquatic,Immature,NA,45.649,DSC_7582,9.678,6.342,344.685,114.653,88.846,18.914,74.136,88.601,29.865,223.226,114.653,NA,10,0.833333333,2
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7583,DSC_7584,4.9,13.824,49.202,100.651,11.347,0.156196825,Paedomorph,Aquatic,Mature,Male,51.449,DSC_7584,9.108,6.798,350.356,68.797,57.704,16.271,47.568,56.296,28.918,224.116,68.803,NA,10,0.833333333,2
38,Block 5,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-31T00:00:00Z,NA,315,315,DSC_7585,DSC_7586,3.58,13.283,45.147,87.527,10.254,0.14332381,Paedomorph,Aquatic,Mature,Female,42.38,DSC_7586,10.498,6.879,306.929,70.193,53.33,9.582,44.369,53.397,28.019,232.537,70.193,NA,10,0.833333333,2
39,Block 4,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7587,DSC_7588,3.737,14.784,43.229,87.183,10.31,0.134669782,Paedomorph,Aquatic,Mature,Male,43.954,DSC_7588,10.848,6.471,320.65,83.739,66.566,15.429,55.23,65.894,28.867,223.873,83.741,NA,8,0.666666667,4
39,Block 4,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7589,DSC_7590,4.305,14.479,47.766,96.65,10.923,0.148803738,Paedomorph,Aquatic,Mature,Male,48.884,DSC_7590,11.47,7.647,403.858,86.481,66.157,11.284,54.648,65.978,28.173,232.401,86.481,NA,8,0.666666667,4
39,Block 4,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7591,DSC_7592,3.602,11.842,44.28,93.021,10.839,0.137943925,Larva,Aquatic,Immature,NA,48.741,DSC_7592,10.474,6.918,391.05,101.458,78.082,21.717,67.094,78.637,29.424,211.772,101.462,NA,8,0.666666667,4
39,Block 4,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7593,DSC_7594,3.22,13.266,39.529,84.464,10.643,0.123143302,Paedomorph,Aquatic,Mature,Female,44.935,DSC_7594,9.796,6.334,304.344,92.796,76.932,23.056,64.256,75.504,32.217,204.312,92.803,NA,8,0.666666667,4
40,Block 3,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7595,DSC_7596,1.708,10.984,33.567,69.917,8.654,0.104570093,Larva,Aquatic,Immature,NA,36.35,DSC_7596,9.108,5.529,243.072,59.361,48.784,9.393,39.184,47.451,30.647,229.371,59.432,NA,1,0.083333333,11
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7597,DSC_7598,2.015,11.229,37.919,76.263,8.706,0.118127726,Larva,Aquatic,Immature,NA,38.344,DSC_7598,8.812,5.641,281.049,82.86,67.959,20.199,56.994,66.978,31.063,209.572,82.871,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7599,DSC_7600,2.711,11.539,41.627,78.503,9.913,0.129679128,Larva,Aquatic,Immature,NA,36.876,DSC_7600,10.208,6.721,344.595,75.67,62.595,16.744,51.674,61.269,31.677,216.876,75.692,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7601,DSC_7602,2.005,11.136,35.71,75.619,8.863,0.111246106,Larva,Aquatic,Immature,NA,39.909,DSC_7602,9.228,5.131,283.179,87.292,72.103,17.111,58.838,70.393,32.102,216.929,87.293,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7603,DSC_7604,2.217,11.835,39.54,79.326,9.469,0.12317757,Larva,Aquatic,Immature,NA,39.786,DSC_7604,9.162,5.629,278.947,90.989,74.244,18.575,61.272,72.895,30.97,216.495,90.99,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7605,DSC_7606,2.05,11.094,35.895,73.805,9.19,0.11182243,Larva,Aquatic,Immature,NA,37.91,DSC_7606,9.328,5.749,273.085,93.834,78.668,22.363,64.956,76.806,32.368,208.915,93.834,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7607,DSC_7608,2.301,11.533,38.229,78.402,9.532,0.119093458,Larva,Aquatic,Immature,NA,40.173,DSC_7608,9.15,5.907,286.763,95.591,80.907,31.25,69.24,79.627,32.215,186.7,95.613,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7609,DSC_7610,2.054,10.384,37.138,72.62,9.003,0.115694704,Larva,Aquatic,Immature,NA,35.482,DSC_7610,7.466,4.893,179.198,100.542,85.478,28.452,71.501,83.477,33.034,193.829,100.547,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7611,DSC_7612,1.65,9.912,36.217,72.236,8.678,0.112825545,Larva,Aquatic,Immature,NA,36.019,DSC_7612,7.282,5.255,202.947,84.531,68.257,21.103,57.986,67.78,30.87,201.33,84.531,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7613,DSC_7614,2.372,11.671,38.856,78.869,9.453,0.121046729,Larva,Aquatic,Immature,NA,40.013,DSC_7614,9.026,6.15,276.513,89.375,73.527,18.833,60.574,72.037,31.975,214.256,89.384,NA,11,0.916666667,1
41,Block 2,NCE Aphredoderus sayanus,Non-consumptive Aphredoderus sayanus,Aphredoderus sayanus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7615,DSC_7616,2.2,10.834,38.248,75.099,9.25,0.119152648,Larva,Aquatic,Immature,NA,36.851,DSC_7616,8.409,5.457,223.454,79.987,62.796,8.405,50.414,61.754,30.936,235.09,79.988,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7617,DSC_7618,2.629,11.243,39.08,77.257,9.73,0.121744548,Larva,Aquatic,Immature,NA,38.177,DSC_7618,9.131,6.555,242.459,84.706,65.644,13.878,54.737,65.462,29.718,223.557,84.708,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7619,DSC_7620,2.79,11.741,40.054,83.561,10.266,0.124778816,Larva,Aquatic,Immature,NA,43.507,DSC_7620,9.575,5.714,276.925,71.873,58.257,13.752,47.956,57.255,30.234,223.158,71.873,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7621,DSC_7622,2.003,11.091,37.325,73.015,9.49,0.116277259,Larva,Aquatic,Immature,NA,35.69,DSC_7622,8.918,6.189,285.64,81.362,66.963,18.103,55.455,65.694,31.109,213.67,81.362,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7623,DSC_7624,2.954,12.807,41.956,85.126,10.743,0.13070405,Larva,Aquatic,Immature,NA,43.17,DSC_7624,9.641,6.342,283.79,80.579,62.666,14.579,52.604,62.538,29.1,220.409,80.579,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7625,DSC_7626,1.912,10.98,34.128,71.852,9.089,0.106317757,Larva,Aquatic,Immature,NA,37.724,DSC_7626,8.487,4.882,239.603,87.68,73.503,19.882,60.353,71.605,32.666,209.396,87.691,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7628,DSC_7629,2.649,11.853,38.853,79.463,10.343,0.121037383,Larva,Aquatic,Immature,NA,40.61,DSC_7629,9.374,6.481,265.723,84.68,66.776,16.291,55.93,66.346,29.569,217.853,84.681,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7630,DSC_7631,2.37,12.188,38.954,75.711,10.106,0.121352025,Larva,Aquatic,Immature,NA,36.757,DSC_7631,9.06,5.193,203.289,80.339,64.454,16.947,53.924,63.787,29.871,214.97,80.339,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7632,DSC_7633,2.506,11.541,39.361,76.536,9.498,0.122619938,Larva,Aquatic,Immature,NA,37.175,DSC_7633,10.029,6.892,298.628,80.844,65.367,15.07,53.758,64.239,31.437,218.689,80.848,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7634,DSC_7635,2.017,9.857,35.971,71.446,9.16,0.11205919,Larva,Aquatic,Immature,NA,35.475,DSC_7635,9.538,6.507,280.586,76.915,63.016,15.517,51.814,61.757,31.365,218.031,76.921,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7636,DSC_7637,2.601,12.474,40.298,78.528,10.02,0.125538941,Larva,Aquatic,Immature,NA,38.23,DSC_7637,8.809,5.934,281.249,91.771,77.518,20.38,63.215,75.258,33.426,209.083,91.778,NA,11,0.916666667,1
42,Block 1,NCE Lepomis cyanellus,Non-consumptive Lepomis cyanellus,Lepomis cyanellus,Non-lethal,Non-consumptive,NCE,2017-12-12T00:00:00Z,2017-01-25T00:00:00Z,NA,321,321,DSC_7638,DSC_7639,1.909,10.189,36.549,70.101,8.712,0.113859813,Larva,Aquatic,Immature,NA,33.552,DSC_7639,9.251,5.692,252.262,86.266,68.902,18.672,57.915,68.357,29.772,213.277,86.266,NA,11,0.916666667,1
7,Block 6,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-31T00:00:00Z,NA,316,316,DSC_7640,DSC_7641,6.431,14.888,49.941,100.013,12.086,0.158041139,Paedomorph,Aquatic,Mature,Female,50.072,DSC_7641,12.402,8.47,483.694,70.264,55.842,20.417,48.836,56.115,25.213,208.524,70.272,NA,4,0.333333333,8
7,Block 6,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-31T00:00:00Z,NA,316,316,DSC_7642,DSC_7643,8.581,14.91,56.765,109.965,13.308,0.179636076,Paedomorph,Aquatic,Mature,Female,53.2,DSC_7643,13.514,9.275,553.629,37.945,31.125,9.167,26.11,30.626,27.013,219.321,37.969,NA,4,0.333333333,8
8,Block 5,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-31T00:00:00Z,NA,316,316,DSC_7644,DSC_7645,10.023,15.922,59.139,117.01,13.573,0.187148734,Paedomorph,Aquatic,Mature,Female,57.871,DSC_7645,12.319,9.489,567.325,50.381,39.806,5.606,31.946,39.078,28.571,241.535,50.384,NA,7,0.583333333,5
8,Block 5,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-31T00:00:00Z,NA,316,316,DSC_7646,DSC_7647,8.679,15.023,57.622,115.654,14.858,0.182348101,Paedomorph,Aquatic,Mature,Male,58.032,DSC_7647,10.313,8.59,447.802,19.036,15.873,1.258,12.044,15.096,26.538,218.232,19.174,NA,7,0.583333333,5
8,Block 5,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-31T00:00:00Z,NA,316,316,DSC_7648,DSC_7649,9.296,15.72,59.879,115.906,12.613,0.189490506,Paedomorph,Aquatic,Mature,Female,56.027,DSC_7649,11.985,8.64,492.909,27.027,19.726,3.742,16.824,20.079,15.778,176.876,27.033,NA,7,0.583333333,5
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7650,DSC_7651,2.662,11.465,39.526,77.834,10.155,0.122751553,Larva,Aquatic,Immature,NA,38.308,DSC_7651,8.563,6.356,306.325,89.358,76.514,23.35,63.067,74.296,33.642,201.06,89.416,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7652,DSC_7653,2.408,11.514,38.833,71.872,9.991,0.120599379,Larva,Aquatic,Immature,NA,33.039,DSC_7653,9.812,6.296,256.925,77.279,62.347,18.544,52.725,61.817,30.5,211.099,77.294,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7654,DSC_7655,2.128,10.905,36.936,72.941,9.272,0.114708075,Larva,Aquatic,Immature,NA,36.005,DSC_7655,9.013,6.265,221.305,70.62,61.699,20.082,50.806,59.604,33.53,205.017,70.705,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7656,DSC_7657,2.486,13.029,38.336,76.216,10.088,0.119055901,Larva,Aquatic,Immature,NA,37.88,DSC_7657,9.844,6.762,292.384,63.189,55.247,17.837,45.429,53.353,33.418,207.726,63.498,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7658,DSC_7659,2.179,10.92,40.651,75.678,9.804,0.126245342,Larva,Aquatic,Immature,NA,35.027,DSC_7659,8.839,4.198,293.843,70.237,58.667,15.191,48.037,57.205,31.17,220.01,70.248,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7660,DSC_7661,2.601,11.932,41.025,79.038,10.006,0.127406832,Larva,Aquatic,Immature,NA,38.013,DSC_7661,9.533,6.195,302.231,85.969,75.084,25.384,62.146,72.668,34.611,196.685,86.191,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7662,DSC_7663,2.239,11.02,39.255,70.357,9.022,0.121909938,Larva,Aquatic,Immature,NA,31.102,DSC_7663,9.13,6.28,257.584,72.749,58.47,15.628,48.949,57.862,30.557,214.014,72.758,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7664,DSC_7665,2.723,12.517,40.436,78.676,9.63,0.12557764,Larva,Aquatic,Immature,NA,38.24,DSC_7665,9.678,6.081,286.964,82.406,67.215,13.671,54.43,65.655,31.873,223.554,82.419,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7666,DSC_7667,2.395,11.688,39.891,78.157,9.894,0.123885093,Larva,Aquatic,Immature,NA,38.266,DSC_7667,9.911,6.412,288.597,85.356,71.944,18.953,58.757,69.912,32.618,212.084,85.368,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7668,DSC_7669,2.44,12.441,40.658,79.297,9.651,0.126267081,Larva,Aquatic,Immature,NA,38.639,DSC_7669,8.327,6.303,268.047,80.851,67.704,16.478,55.017,65.783,32.926,214.14,80.87,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7670,DSC_7671,2.822,13.07,41.386,80.479,10.93,0.12852795,Larva,Aquatic,Immature,NA,39.093,DSC_7671,9.014,6.506,306.633,87.73,75.091,22.717,61.85,72.908,33.248,206.025,87.863,NA,12,1,0
9,Block 4,NCE Fundulus chrysotus,Non-consumptive Fundulus chrysotus,Fundulus chrysotus,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7672,DSC_7673,2.274,12.442,39.384,76.106,9.711,0.122310559,Larva,Aquatic,Immature,NA,36.722,DSC_7673,9.242,6.111,266.026,83.652,71.35,22.665,59.208,69.501,33.099,201.771,83.695,NA,12,1,0
11,Block 2,CE Lepomis cyanellus,Consumptive Lepomis cyanellus,Lepomis cyanellus,Lethal,Consumptive,CE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7688,DSC_7689,1.466,10.284,32.521,65.205,7.826,0.100996894,Larva,Aquatic,Immature,NA,32.684,DSC_7689,7.479,5.654,171.073,34.39,28.253,9.984,24.205,27.977,24.789,189.618,34.704,NA,1,0.083333333,11
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7690,DSC_7691,2.436,10.441,37.136,73.387,9.343,0.115329193,Larva,Aquatic,Immature,NA,36.251,DSC_7691,9.014,6.07,259.886,85.419,78.028,28.399,63.951,74.576,36.983,196.122,85.917,NA,12,1,0
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7692,DSC_7693,3.134,12.691,41.036,86.585,9.852,0.127440994,Larva,Aquatic,Immature,NA,45.549,DSC_7693,10.336,6.9,338.168,91.853,78.238,22.009,64.041,75.883,33.516,206.02,91.857,NA,12,1,0
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7694,DSC_7695,2.462,12.856,39.175,78.215,9.63,0.121661491,Larva,Aquatic,Immature,NA,39.04,DSC_7695,9.87,6.165,259.235,83.308,72.569,23.428,59.774,70.171,33.82,201.972,83.372,NA,12,1,0
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7696,DSC_7697,2.333,11.198,37.176,77.845,9.1,0.115453416,Larva,Aquatic,Immature,NA,40.669,DSC_7697,9.013,6.167,289.42,97.95,81.477,21.884,67.104,79.612,32.588,210.256,97.956,NA,12,1,0
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7698,DSC_7699,2.104,11.026,37.451,72.217,9.012,0.116307453,Paedomorph,Aquatic,Mature,Female,34.766,DSC_7699,NA,NA,181.031,82.128,69.583,23.643,58.447,68.095,32.557,197.464,82.173,"preserved; female, pending paedomorph",12,1,0
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7700,DSC_7701,2.843,10.933,40.566,80.585,9.878,0.125981366,Larva,Aquatic,Immature,NA,40.019,DSC_7701,8.497,6.491,259.561,60.548,47.884,9.292,39.236,47.274,28.188,231.732,60.558,NA,12,1,0
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7702,DSC_7703,2.526,11.398,36.49,74.145,9.942,0.113322981,Larva,Aquatic,Immature,NA,37.655,DSC_7703,9.798,6.467,251.577,81.26,66.632,17.162,55.015,65.365,31.751,215.179,81.269,NA,12,1,0
12,Block 1,NCE Control,Non-consumptive Control,Control,Non-lethal,Non-consumptive,NCE,2017-12-13T00:00:00Z,2017-01-25T00:00:00Z,NA,322,322,DSC_7704,DSC_7705,2.548,14.875,40.362,75.239,9.571,0.125347826,Larva,Aquatic,Immature,NA,34.877,DSC_7705,8.929,5.916,250.657,89.564,76.892,23.778,63.409,74.628,33.654,201.539,89.674,NA,12,1,0
